Episode,Max_RRT_Score_Error
0_877,0.9
950_848,0.0
550_873,0.0
850_813,0.0
650_803,0.0
150_810,0.0
450_878,0.0
300_862,0.0
600_821,0.0
350_880,0.0
200_824,0.0
250_861,0.0
750_814,0.0
400_800,0.0
700_876,0.0
500_849,0.0
900_808,0.0
50_853,0.0
100_823,0.0
800_844,0.0
1_877,0.9
0_877,0.9
1_877,0.95
0_877,0.975
0_877,0.0
0_877,0.0
29_853,0.0
28_853,0.0
8_877,0.9
0_877,0.4
17_877,0.25
18_877,0.19999999999999996
14_877,0.95
5_877,0.19999999999999996
23_877,0.8
12_877,0.25
22_877,0.9
25_877,0.19999999999999996
26_877,0.9
13_877,0.9
2_877,0.8
9_877,0.30000000000000004
11_877,0.30000000000000004
1_877,0.8
27_877,0.4
3_877,0.25
15_877,0.4
10_877,0.4
7_877,0.9
24_877,0.30000000000000004
21_877,0.4
19_877,0.8
4_877,0.9
20_877,0.9
6_877,0.7
16_877,0.19999999999999996
