Episode,Step,RRT_Score_error
400,0,0.050000000000000044
0,0,0.8
200,0,0.09999999999999998
600,0,0.5
800,0,0.19999999999999996
400,1,0.09999999999999998
400,2,0.15000000000000002
200,1,0.0
0,2,0.9
600,2,0.09999999999999998
400,4,0.09999999999999998
800,1,0.09999999999999998
200,2,0.9
0,3,0.6
600,4,0.9
401,0,0.09999999999999998
0,4,0.8
401,1,0.09999999999999998
800,2,0.15000000000000002
401,2,0.0
201,0,0.25
601,0,0.5
401,3,0.050000000000000044
601,2,0.19999999999999996
401,4,0.09999999999999998
201,2,0.09999999999999998
1,0,0.19999999999999996
1,1,1.0
801,0,0.7
1,2,0.09999999999999998
1,3,0.30000000000000004
801,2,0.85
1,4,0.7
801,4,0.09999999999999998
201,3,0.95
0,0,0.4
0,1,1.0
0,2,0.19999999999999996
0,3,0.8
0,4,0.9
1,0,0.9
1,2,0.8
1,3,0.19999999999999996
0,0,0.95
0,1,0.95
1,0,0.9
1,1,0.9
0,0,0.9
0,1,0.19999999999999996
1,0,0.9
1,1,1
0,0,0.95
0,1,0.8
1,0,0.8
